learner,tuner,rep,pehe,pehe_plug,dimension,final_tuning_mse
x_cb,random,7,0.0980300980694732,0.1873716011143545,6d,1.1369809411458436
x_cb,random,8,0.1711750185707,0.4785051824350988,6d,1.1635850947221038
x_cb,random,9,0.165838915844038,0.2851878199470808,6d,1.1631109825187405
x_cb,random,10,0.1567579778645833,0.3125933853384906,6d,1.1320642023149416
x_cb,random,11,0.1426006978478453,0.3504012852348425,6d,1.122786840119396
x_cb,random,12,0.2136972189979769,0.5259228194513862,6d,1.1737463116222069
x_cb,random,13,0.1037187993377578,0.3092647006272358,6d,1.1406921329972468
x_cb,random,14,0.086186357851618,0.4324058102293999,6d,1.045490182088358
x_cb,random,15,0.138832350232521,0.2553859561577174,6d,1.2063167367783925
x_cb,random,16,0.1542998736595451,0.3384319552123365,6d,1.216487548766363
x_cb,random,17,0.1179703058111163,0.272930920661447,6d,1.122921240409595
x_cb,random,18,0.1243190190646627,0.441164029110056,6d,1.1298265832329089
